ROUTE_ID,TRIP_ID,TRIP_HEADSIGN,DIRECTION_ID,AGENCY_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,STOP_ID,STOP_SEQUENCE,STOP_HEADSIGN,STOP_NAME,STOP_LAT,STOP_LON
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00325,29,,Carrickmines,53.2544053583321,-6.17157154706938
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00329,30,,Laughanstown,53.2506100860899,-6.15509824254792
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00332,31,,Cherrywood,53.2453619098395,-6.14589858857429
93-GRN-y11-18,79.SuBH.93-GRN-y11-18.23.O,,0,10000,GRN,,825GA00336,32,,Brides Glen,53.2420535158945,-6.14296996911551
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00419,1,,Saggart,53.2848228174177,-6.43776755755447
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00416,2,,Fortunestown,53.284310052795,-6.42475313819877
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00413,3,,Citywest Campus,53.2878642325129,-6.4189377232912
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00396,4,,Cheeverstown,53.2910516589517,-6.40653481614151
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00393,5,,Fettercairn,53.2933722278281,-6.39593268245185
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00348,6,,Belgard,53.2992914617323,-6.3750664593354
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00351,7,,Kingswood,53.3036907869086,-6.36550642913275
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,823GA00354,8,,Red Cow,53.3167288179049,-6.36984124363593
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00357,9,,Kylemore,53.3266344972539,-6.34380664554675
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00361,10,,Bluebell,53.3293185582226,-6.33388362503051
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00364,11,,Blackhorse,53.3342993702968,-6.32756312200431
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00367,12,,Drimnagh,53.335391321414,-6.31828555865664
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00370,13,,Goldenbridge,53.3359596247184,-6.31333788082313
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00373,14,,Suir Road,53.3366375181369,-6.307259495111
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00376,15,,Rialto,53.3379445321794,-6.29741668416627
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00379,16,,Fatima,53.338462578185,-6.29278578501984
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00382,17,,James's,53.3417777506246,-6.29331414603483
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00387,18,,Heuston,53.3466823551431,-6.29185654699592
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00390,19,,Museum,53.3479153606749,-6.28695563578203
93-RED-y11-19,23.MF-BH.93-RED-y11-19.9.I,,1,10000,RED,,822GA00399,20,,Smithfield,53.3471496504727,-6.27809436824864
