ROUTE_ID,TRIP_ID,TRIP_HEADSIGN,DIRECTION_ID,AGENCY_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,STOP_ID,STOP_SEQUENCE,STOP_HEADSIGN,SHAPE_DIST_TRAVELED,STOP_NAME,STOP_LAT,STOP_LON
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000048,27, Grange Castle IAWS,10229.34,"Fitzroy Avenue, stop 48",53.3622573901253,-6.25880841233312
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000049,28, Grange Castle IAWS,10515.72,"Dorset Street Lower, stop 49",53.3600042378903,-6.26085350834049
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000051,29, Grange Castle IAWS,10805.95,"Temple Street, stop 51",53.3578104088118,-6.26327157246547
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000052,30, Grange Castle IAWS,10962.71,"Dorset Street Upper, stop 52",53.3566607792373,-6.26456528204094
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000261,31, Grange Castle IAWS,11437.02,"Parnell Square East, stop 261",53.3540562845357,-6.26285336122222
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000270,32, Grange Castle IAWS,11857.4,"O'Connell St Upper, stop 270",53.3506233915332,-6.26042429163428
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB000335,33, Grange Castle IAWS,12368.12,"D'Olier Street, stop 335",53.3463614054442,-6.25784917048533
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB004521,34, Grange Castle IAWS,12703.35,"College Green, stop 4521",53.3443010558745,-6.26017105109329
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001935,35, Grange Castle IAWS,13247.78,"Lord Edward Street, stop 1935",53.3439343462182,-6.26832635157404
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001937,36, Grange Castle IAWS,13605.42,"High Street, stop 1937",53.3430874992207,-6.27315167433479
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001938,37, Grange Castle IAWS,13856.84,"Thomas Street, stop 1938",53.342977894971,-6.27676060847674
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001939,38, Grange Castle IAWS,14120.75,"Bridgefoot Street, stop 1939",53.3429982683437,-6.28066466654276
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001940,39, Grange Castle IAWS,14464.73,"James Street, stop 1940",53.3435386006496,-6.28573434793228
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001941,40, Grange Castle IAWS,14694.08,"Steeven's Lane, stop 1941",53.3433454019853,-6.28918142026459
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001942,41, Grange Castle IAWS,15077.52,"St James Hospital, stop 1942",53.3422549834013,-6.29463172936889
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001943,42, Grange Castle IAWS,15343.06,"Mount Brown, stop 1943",53.3413732637012,-6.29834636571313
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001944,43, Grange Castle IAWS,15702.38,"Old Kilmainham, stop 1944",53.3406753265063,-6.30361540534036
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001945,44, Grange Castle IAWS,16106.16,"Inchicore Library, stop 1945",53.3405547841713,-6.30968740041893
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001946,45, Grange Castle IAWS,16559.15,"Richmond Park, stop 1946",53.3401188049337,-6.31635747688677
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001947,46, Grange Castle IAWS,16671.18,"Camac Close, stop 1947",53.339817856505,-6.31796119520693
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001948,47, Grange Castle IAWS,17002.97,"Tyrconnell Road, stop 1948",53.3386619960493,-6.32204630155484
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001949,48, Grange Castle IAWS,17157.09,"Tyrconnell Park, stop 1949",53.3376414796005,-6.32361808034674
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001950,49, Grange Castle IAWS,17398.07,"Oblates Church, stop 1950",53.3360210442491,-6.32599413397446
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001951,50, Grange Castle IAWS,17785.25,"Blackhorse Luas, stop 1951",53.3331348380343,-6.32912521917044
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001952,51, Grange Castle IAWS,17954.86,"Lansdowne Valley, stop 1952",53.3317095154437,-6.33003676787114
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001953,52, Grange Castle IAWS,18186.67,"Bluebell Luas, stop 1953",53.329994499494,-6.33208562071691
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001954,53, Grange Castle IAWS,18411.25,"Muirfield Drive, stop 1954",53.3287741741445,-6.33480565905474
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001955,54, Grange Castle IAWS,18636.4,"Carriglea Ind Estate, stop 1955",53.3279457071728,-6.33791566337677
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8220DB001956,55, Grange Castle IAWS,19070.14,"Kylemore Luas, stop 1956",53.3263654179262,-6.34384709401733
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001957,56, Grange Castle IAWS,19305.24,"Robinhood Road, stop 1957",53.3254115709781,-6.34700662729441
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001958,57, Grange Castle IAWS,19489.55,"Long Mile Road, stop 1958",53.3245634198194,-6.34936629643856
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001959,58, Grange Castle IAWS,19984.64,"Club Road, stop 1959",53.3222337514405,-6.35574596021052
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001960,59, Grange Castle IAWS,20462.35,"Red Cow Hotel, stop 1960",53.3200631687512,-6.36195371168539
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004379,60, Grange Castle IAWS,21429.5,"Red Cow Luas, stop 4379",53.3162963465609,-6.37371508620956
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001963,61, Grange Castle IAWS,22235.59,"Woodford Hill, stop 1963",53.3200381428223,-6.37854127295757
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004549,62, Grange Castle IAWS,22382.07,"Woodford Drive, stop 4549",53.3212566232549,-6.3775944193515
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB001964,63, Grange Castle IAWS,22669.66,"Woodford Walk, stop 1964",53.3232100854933,-6.3784810474854
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004674,64, Grange Castle IAWS,23098.05,"Yellow Meadows Dr, stop 4674",53.3260815608275,-6.3827708448101
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004663,65, Grange Castle IAWS,23696.28,"Watery Lane, stop 4663",53.325142319734,-6.38908149326993
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004664,66, Grange Castle IAWS,24122.48,"Clondalkin Town C, stop 4664",53.3222848031907,-6.39246159034273
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB002160,67, Grange Castle IAWS,24504.6,"Convent Road, stop 2160",53.3195731447018,-6.39466495688777
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB002161,68, Grange Castle IAWS,24639.35,"Clondalkin Church, stop 2161",53.3183725942563,-6.39495017689403
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004665,69, Grange Castle IAWS,24771.47,"St Joseph's NS, stop 4665",53.3172387613979,-6.39551805677925
60-13-b12-1,13242.1.60-13-b12-1.20.O,Harristown Bus Garage - Business Park Bus Terminus,0,978,13,,8230DB004666,70, Grange Castle IAWS,25057.77,"Fonthill Road, stop 4666",53.3168234642548,-6.39805520056037
