ID,ADDRESS,LAT,LONG
111,"3 CHARNWOOD GARDENS, CLONSILLA, DUBLIN 15, Dublin, Ireland",53.3858652,-6.4123396
112,"30 KILCARRIG AVE, FETTERCAIRN, TALLAGHT DUBLIN 24, Dublin, Ireland",53.2913225,-6.3922917
113,"32 APPLEWOOD AVE WEST, SWORDS, DUBLIN, Dublin, Ireland",53.469969,-6.231983
114,"37 DONAGHMEDE PARK, DONAGHMEDE, DUBLIN 13, Dublin, Ireland",53.3929877,-6.1584325
115,"387 PEARSE ST, SALLYNOGGIN, DUN LAOGHAIRE, Dublin, Ireland",53.2735303,-6.140131
116,"45 SANDYMOUNT AVE, DUBLIN 4, DUBLIN, Dublin, Ireland",53.3279213,-6.220571
117,"60 LEIX RD, CABRA, DUBLIN 7, Dublin, Ireland",53.3617901,-6.2870631
118,"63 PARK AVE, SANDYMOUNT, DUBLIN 4, Dublin, Ireland",53.3245294,-6.2128592
119,"82 TURVEY WOODS, DONABATE, DUBLIN, Dublin, Ireland",53.4880546,-6.1584852
120,"9 BOLBROOK AVE, TALLAGHT, DUBLIN 24, Dublin, Ireland",53.2866614,-6.3412207
121,"9 GROVE AVE, RATHMINES, DUBLIN 6, Dublin, Ireland",53.3290297,-6.2733824
122,"9 NEWCOMEN AVE, NORTH STRAND, DUBLIN 3, Dublin, Ireland",53.3572834,-6.2448028
123,"19 CHAPEL FARM GREEN, LUSK, DUBLIN, Dublin, Ireland",53.5235096,-6.1706806
124,"37 Millers Avenue, Millers Glen, Swords, Dublin, Ireland",53.4741391,-6.2411916
125,"108 BROADFORD HILL, BALLINTEER, DUBLIN 16, Dublin, Ireland",53.2797995,-6.2583235
126,"11 BUTTERFIELD CLOSE, RATHFARNHAM, DUBLIN 14, Dublin, Ireland",53.2927866,-6.2953786
127,"11 GROVE PARK, RATHMINES, DUBLIN 6, Dublin, Ireland",53.3291706,-6.2674353
128,"12 DROMARD TERRACE, SANDYMOUNT, DUBLIN 4, Dublin, Ireland",53.3333467,-6.2142177
129,"13  THE  CLOSE, CYPRESS  DOWNS, TEMPLEOGUE, Dublin, Ireland",53.3006061,-6.3142297
130,"149 CLONARD RD, CRUMLIN, DUBLIN 12, Dublin, Ireland",53.3221701,-6.3051551
131,"15  16 Hollywoodrath Avenue, 1-29 Bay Meadows View  1-18, Bay Meadows Grove  1-48, Dublin, Ireland",47.27541,8.4897
132,"15 CASTLEGRANGE SQ, CLONDALKIN, DUBLIN 22, Dublin, Ireland",53.321422,-6.4241497
133,"15 WOODFORD VILLAS, CLONDALKIN, DUBLIN 22, Dublin, Ireland",53.3236914,-6.3812975
134,"16 GRATTAN ST, DUBLIN 2, DUBLIN, Dublin, Ireland",53.3399641,-6.2436942
135,"17 PRIORY HALL, KIMMAGE, DUBLIN 6W, Dublin, Ireland",53.3090176,-6.3122682
136,"18 WILLSBROOK CRESCENT, LUCAN, DUBLIN, Dublin, Ireland",53.3554422,-6.4229453
137,"19 CEDAR WALK, RAHENY, DUBLIN 5, Dublin, Ireland",53.3835393,-6.1654392
138,"22 SLANE RD, CRUMLIN, DUBLIN 12, Dublin, Ireland",53.3261543,-6.2993549
139,"27 PARK CRESCENT, KIMMAGE, DUBLIN 12, Dublin, Ireland",53.3153188,-6.3051905
140,"29 CARNDONAGH DRIVE, DONAGHMEDE, DUBLIN 13, Dublin, Ireland",53.3938331,-6.1551142
141,"32 The Avenue, Semple Woods, Donabate, Dublin, Ireland",53.4823082,-6.1560431
142,"34 BALBRIGGAN ST, SKERRIES, DUBLIN, Dublin, Ireland",53.5822532,-6.1193223
143,"4 BOROIMHE ROWAN, SWORDS, DUBLIN, Dublin, Ireland",53.4447536,-6.2410101
144,"50 BALLINTYRE MEADOWS, BALLINTEER, DUBLIN 16, Dublin, Ireland",53.2730248,-6.2563379
145,"7 PALMERSTON PARK, RATHMINES, DUBLIN, Dublin, Ireland",53.3135987,-6.2595596
146,"74 THE CLOISTERS, TERENURE, DUBLIN 6W, Dublin, Ireland",53.3163607,-6.2865787
147,"78 DECIES RD BALLYFERMOT, DUBLIN 10, DUBLIN, Dublin, Ireland",53.3398298,-6.3422106
148,"8 DUN EMER WAY, LUSK, DUBLIN, Dublin, Ireland",53.5255671,-6.1789062
149,"83 DODDER PARK RD, RATHFARNHAM, DUBLIN 14, Dublin, Ireland",53.3042884,-6.275085
150,"APT 3, THE TRAMYARD, SPA RD DUBLIN 8, Dublin, Ireland",53.3388012,-6.3196391
151,"103 LANDSCAPE PARK, CHURCHTOWN, DUBLIN 14, Dublin, Ireland",53.2993437,-6.2632302
152,"11 LANDSCAPE GARDENS, CHURCHTOWN, DUBLIN 14, Dublin, Ireland",53.2983296,-6.2586739
153,"12 CASINO PARK, MARINO, DUBLIN 3, Dublin, Ireland",53.3736349,-6.2253724
154,"12 DE SELBY CLOSE, TALLAGHT DUBLIN 24, DUBLIN, Dublin, Ireland",53.2758206,-6.4112741
155,"13 Belltree Lane, Belltree, Clongriffin, Dublin, Ireland",53.4063475,-6.152859
156,"16 BANCROFT RD, TALLAGHT, DUBLIN 24, Dublin, Ireland",53.2912189,-6.3522711
157,"19 Shackleton Terrace, Shackleton Park, Lucan, Dublin, Ireland",53.3449127,-6.4727091
158,"21 LLEWELLYN WAY, RATHFARNHAM, DUBLIN 16, Dublin, Ireland",53.2822845,-6.2652088
159,"25 GROSVENOR PLACE, RATHMINES, DUBLIN 6, Dublin, Ireland",53.3200052,-6.2713521
160,"29 QUAY ST, SKERRIES, DUBLIN, Dublin, Ireland",53.5813215,-6.1090811
161,"34 NAAS RD, BLUEBELL, DUBLIN, Dublin, Ireland",53.3262667,-6.3452493
162,"35 HERBERT AVE, MERRION, DUBLIN, Dublin, Ireland",53.3159471,-6.2098526
163,"56 CONNAUGHT ST, PHIBSBOROUGH, DUBLIN 7, Dublin, Ireland",53.3631969,-6.2760229
164,"67 LORCAN CRESCENT, SANTRY, DUBLIN 9, Dublin, Ireland",53.3932985,-6.2351759
165,"8 ERRIS RD, CABRA, DUBLIN 7, Dublin, Ireland",53.3623726,-6.2887306
166,"8 St. Helen's Court, St. Helen's, Adamstown, Dublin, Ireland",53.3401594,-6.4677808
167,"120 BEECHWOOD CT, STILLORGAN, DUBLIN, Dublin, Ireland",53.2823588,-6.1905271
168,"13 HUNTERS WALK, BALLYCULLEN, FIRHOUSE, Dublin, Ireland",53.2714682,-6.3289625
169,"184 GRACE PARK HEIGHTS, DRUMCONDRA, DUBLIN 9, Dublin, Ireland",53.3788551,-6.2347384
170,"19 CASTLEWOOD AVE, RATHMINES, DUBLIN 6, Dublin, Ireland",53.3232101,-6.2619445
171,"20 MOUNT SYMON PARK, CLONSILLA, DUBLIN 15, Dublin, Ireland",53.3884568,-6.4214493
172,"206A SHANLISS RD, SANTRY, DUBLIN, Dublin, Ireland",53.3917388,-6.2631137
173,"25 FERNS RD, KIMMAGE, DUBLIN 12, Dublin, Ireland",53.3223591,-6.2964634
174,"3 BELVEDERE ROAD, DUBLIN 1, Dublin, Ireland",53.3605601,-6.2596999
175,"40/40A JAMES STREET, DUBLIN 8, Dublin, Ireland",53.3432506,-6.2900292
176,"6 CASTLEGATE HEATH, ADAMSTOWN, LUCAN, Dublin, Ireland",53.3364593,-6.4553832
177,"6 RATHDOWN AVENUE, TERENURE, DUBLIN 6W, Dublin, Ireland",53.3033588,-6.2893488
178,"8 CASTLEBROOK, DUNDRUM, DUBLIN 16, Dublin, Ireland",53.2856886,-6.2430813
179,"9 FERNWOOD LAWN, SPRINGFIELD, TALLAGHT DUBLIN 24, Dublin, Ireland",53.2895669,-6.384362
180,"APT 85, 109 PARNELL SQUARE, DUBLIN 1, Dublin, Ireland",53.354535,-6.2635331
181,"MERVYN, THE HILL, MONKSTOWN, Dublin, Ireland",53.292524,-6.1494937
182,"100 CHURCHVIEW RD, KILLINEY, DUBLIN, Dublin, Ireland",53.2589756,-6.1376399
183,"100A AVONDALE PARK, RAHENY, DUBLIN, Dublin, Ireland",53.3793308,-6.1689071
184,"104 KILDONAN RD, FINGLAS WEST DUBLIN 11, DUBLIN, Dublin, Ireland",53.3915724,-6.3115535
185,"112 BAYSIDE BOULEVARD NORTH, SUTTON, DUBLIN 13, Dublin, Ireland",53.3915143,-6.144069
